,cobertura,edad,mujer,total,provincia_id,año
514,Sin cobertura,75,245,404,2,2010
515,Sin cobertura,76,187,393,2,2010
516,Sin cobertura,77,152,255,2,2010
517,Sin cobertura,78,239,385,2,2010
518,Sin cobertura,79,229,301,2,2010
519,Sin cobertura,80,255,322,2,2010
520,Sin cobertura,81,158,239,2,2010
521,Sin cobertura,82,166,206,2,2010
522,Sin cobertura,83,133,191,2,2010
523,Sin cobertura,84,126,148,2,2010
524,Sin cobertura,85,125,187,2,2010
525,Sin cobertura,86,93,152,2,2010
526,Sin cobertura,87,145,162,2,2010
527,Sin cobertura,88,97,110,2,2010
528,Sin cobertura,89,110,113,2,2010
529,Sin cobertura,90,61,71,2,2010
530,Sin cobertura,91,77,87,2,2010
531,Sin cobertura,92,24,26,2,2010
532,Sin cobertura,93,14,14,2,2010
533,Sin cobertura,94,25,35,2,2010
534,Sin cobertura,95,16,28,2,2010
535,Sin cobertura,96,2,21,2,2010
536,Sin cobertura,97,14,23,2,2010
537,Sin cobertura,98,21,34,2,2010
538,Sin cobertura,99,1,1,2,2010
539,Sin cobertura,101,1,1,2,2010
540,Sin cobertura,102,10,10,2,2010
541,Sin cobertura,103,0,2,2,2010
542,Sin cobertura,104,0,1,2,2010
543,Sin cobertura,107,1,1,2,2010
662,Con cobertura,0,47844,98180,6,2010
663,Con cobertura,1,48760,99384,6,2010
664,Con cobertura,2,49981,102504,6,2010
665,Con cobertura,3,48063,99098,6,2010
666,Con cobertura,4,52669,106531,6,2010
667,Con cobertura,5,54447,107497,6,2010
668,Con cobertura,6,53305,109493,6,2010
669,Con cobertura,7,52130,106373,6,2010
670,Con cobertura,8,51571,105769,6,2010
671,Con cobertura,9,53619,108776,6,2010
672,Con cobertura,10,54342,110209,6,2010
673,Con cobertura,11,51239,105932,6,2010
674,Con cobertura,12,52252,106750,6,2010
675,Con cobertura,13,52326,104854,6,2010
676,Con cobertura,14,55351,113355,6,2010
677,Con cobertura,15,53985,108876,6,2010
678,Con cobertura,16,53108,106667,6,2010
679,Con cobertura,17,51586,104914,6,2010
680,Con cobertura,18,51556,103648,6,2010
681,Con cobertura,19,53953,106260,6,2010
682,Con cobertura,20,52338,104397,6,2010
683,Con cobertura,21,41184,86685,6,2010
684,Con cobertura,22,42454,87900,6,2010
685,Con cobertura,23,44515,92829,6,2010
686,Con cobertura,24,45572,93720,6,2010
687,Con cobertura,25,45637,93158,6,2010
688,Con cobertura,26,44212,91920,6,2010
689,Con cobertura,27,46997,94160,6,2010
690,Con cobertura,28,50424,102403,6,2010
691,Con cobertura,29,51191,102224,6,2010
692,Con cobertura,30,53303,108139,6,2010
693,Con cobertura,31,53670,107309,6,2010
694,Con cobertura,32,53410,104761,6,2010
695,Con cobertura,33,53803,106478,6,2010
696,Con cobertura,34,50938,99015,6,2010
697,Con cobertura,35,51138,100380,6,2010
698,Con cobertura,36,47144,93367,6,2010
699,Con cobertura,37,48282,95568,6,2010
700,Con cobertura,38,47123,93562,6,2010
701,Con cobertura,39,48147,93378,6,2010
702,Con cobertura,40,47581,92850,6,2010
703,Con cobertura,41,45730,86426,6,2010
704,Con cobertura,42,43847,83430,6,2010
705,Con cobertura,43,41238,80090,6,2010
706,Con cobertura,44,41656,79718,6,2010
707,Con cobertura,45,42074,81204,6,2010
708,Con cobertura,46,42941,81134,6,2010
709,Con cobertura,47,41734,81117,6,2010
710,Con cobertura,48,41907,79922,6,2010
711,Con cobertura,49,39908,76327,6,2010
712,Con cobertura,50,40289,77698,6,2010
713,Con cobertura,51,39764,74188,6,2010
714,Con cobertura,52,38595,72237,6,2010
715,Con cobertura,53,38251,72368,6,2010
716,Con cobertura,54,39054,71294,6,2010
717,Con cobertura,55,38448,70184,6,2010
718,Con cobertura,56,37865,68217,6,2010
719,Con cobertura,57,37845,68630,6,2010
720,Con cobertura,58,39166,68711,6,2010
721,Con cobertura,59,39884,68948,6,2010
722,Con cobertura,60,45268,76687,6,2010
723,Con cobertura,61,48874,77089,6,2010
724,Con cobertura,62,53472,82674,6,2010
725,Con cobertura,63,53249,82700,6,2010
726,Con cobertura,64,54003,82854,6,2010
727,Con cobertura,65,55419,91523,6,2010
728,Con cobertura,66,50931,91085,6,2010
729,Con cobertura,67,50365,89035,6,2010
730,Con cobertura,68,47019,83778,6,2010
731,Con cobertura,69,44918,80327,6,2010
732,Con cobertura,70,48074,85305,6,2010
733,Con cobertura,71,42348,76180,6,2010
734,Con cobertura,72,40021,69991,6,2010
735,Con cobertura,73,40570,69534,6,2010
736,Con cobertura,74,38030,65154,6,2010
737,Con cobertura,75,39029,66266,6,2010
738,Con cobertura,76,35367,58467,6,2010
739,Con cobertura,77,35783,57604,6,2010
740,Con cobertura,78,34177,56444,6,2010
741,Con cobertura,79,32686,53597,6,2010
742,Con cobertura,80,33258,51619,6,2010
743,Con cobertura,81,28803,45266,6,2010
744,Con cobertura,82,26626,41057,6,2010
745,Con cobertura,83,24646,37167,6,2010
746,Con cobertura,84,22881,34130,6,2010
747,Con cobertura,85,20026,29797,6,2010
748,Con cobertura,86,17779,26097,6,2010
749,Con cobertura,87,15682,22805,6,2010
750,Con cobertura,88,13654,18751,6,2010
751,Con cobertura,89,11221,15432,6,2010
752,Con cobertura,90,8920,12150,6,2010
753,Con cobertura,91,6174,8169,6,2010
754,Con cobertura,92,5106,6613,6,2010
755,Con cobertura,93,3846,5040,6,2010
756,Con cobertura,94,2971,3786,6,2010
757,Con cobertura,95,2318,2864,6,2010
758,Con cobertura,96,1528,1935,6,2010
759,Con cobertura,97,1199,1469,6,2010
760,Con cobertura,98,839,981,6,2010
761,Con cobertura,99,431,510,6,2010
762,Con cobertura,100,409,470,6,2010
763,Con cobertura,101,218,254,6,2010
764,Con cobertura,102,109,129,6,2010
765,Con cobertura,103,52,64,6,2010
766,Con cobertura,104,21,22,6,2010
767,Con cobertura,105,8,10,6,2010
768,Con cobertura,106,17,20,6,2010
769,Con cobertura,107,7,9,6,2010
770,Con cobertura,108,0,10,6,2010
771,Con cobertura,109,2,3,6,2010
772,Con cobertura,110,45,51,6,2010
775,Con cobertura,0,14442,29635,6,2010
776,Con cobertura,1,14447,29486,6,2010
