,provincia_residencia,tipo_parto,sexo,grupo_edad_madre,grupo_semanas_gestacion,nivel_educativo_madre,peso_nacimiento,cantidad,año
145,26,Simple,Mujer,15 a 19,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,2,2022
146,90,Múltiple,Mujer,35 a 39,37 a 41,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,2,2022
147,6,Simple,Varón,30 a 34,Sin especificar,Secundario/Polimodal Completa y más,Sin especificar,2,2022
148,54,Simple,Varón,40 a 44,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,8,2022
149,14,Múltiple,Varón,35 a 39,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,3,2022
150,86,Múltiple,Varón,25 a 29,28 a 31,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,3,2022
151,2,Múltiple,Mujer,35 a 39,28 a 31,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1,2022
152,54,Simple,Varón,20 a 24,32 a 36,Sin especificar,Menos de 2500 gramos,7,2022
153,46,Simple,Mujer,15 a 19,37 a 41,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1,2022
154,2,Múltiple,Mujer,35 a 39,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,56,2022
155,54,Simple,Varón,25 a 29,37 a 41,Hasta Primaria/C.EGB Completa,Sin especificar,2,2022
156,82,Múltiple,Mujer,20 a 24,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,5,2022
157,99,Múltiple,Mujer,35 a 39,32 a 36,Sin especificar,Menos de 2500 gramos,1,2022
158,82,Simple,Mujer,25 a 29,42 y más,Secundaria/Polimodal Incompleta,2500 gramos y más,2,2022
159,22,Múltiple,Varón,25 a 29,37 a 41,Hasta Primaria/C.EGB Completa,Menos de 2500 gramos,2,2022
160,18,Simple,Mujer,30 a 34,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,721,2022
161,66,Simple,Varón,35 a 39,37 a 41,Sin especificar,2500 gramos y más,12,2022
162,98,Simple,Varón,30 a 34,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,1,2022
163,54,Múltiple,Mujer,25 a 29,32 a 36,Hasta Primaria/C.EGB Completa,2500 gramos y más,2,2022
164,22,Múltiple,Varón,15 a 19,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,1,2022
165,18,Simple,Varón,25 a 29,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,773,2022
166,54,Simple,Mujer,40 a 44,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,5,2022
167,14,Simple,Varón,Sin especificar,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,1,2022
168,6,Simple,Mujer,25 a 29,22 a 23,Secundario/Polimodal Completa y más,Menos de 2500 gramos,4,2022
169,66,Simple,Varón,40 a 44,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,4,2022
170,14,Simple,Varón,25 a 29,24 a 27,Secundario/Polimodal Completa y más,Menos de 2500 gramos,6,2022
171,14,Múltiple,Mujer,15 a 19,37 a 41,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,4,2022
172,90,Simple,Varón,Menor de 15,37 a 41,Secundario/Polimodal Completa y más,Menos de 2500 gramos,1,2022
173,6,Simple,Mujer,30 a 34,Sin especificar,Secundario/Polimodal Completa y más,2500 gramos y más,24,2022
174,78,Simple,Mujer,25 a 29,32 a 36,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,4,2022
175,2,Múltiple,Mujer,De 45 y más,28 a 31,Secundario/Polimodal Completa y más,Menos de 2500 gramos,2,2022
176,70,Simple,Varón,De 45 y más,37 a 41,Secundaria/Polimodal Incompleta,2500 gramos y más,1,2022
177,34,Simple,Varón,15 a 19,22 a 23,Sin especificar,Menos de 2500 gramos,1,2022
178,54,Simple,Mujer,30 a 34,28 a 31,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,2,2022
179,58,Simple,Varón,35 a 39,32 a 36,Hasta Primaria/C.EGB Completa,2500 gramos y más,8,2022
180,54,Simple,Mujer,25 a 29,37 a 41,Hasta Primaria/C.EGB Completa,2500 gramos y más,584,2022
181,78,Simple,Varón,De 45 y más,37 a 41,Secundario/Polimodal Completa y más,2500 gramos y más,3,2022
182,38,Simple,Varón,15 a 19,42 y más,Secundaria/Polimodal Incompleta,2500 gramos y más,2,2022
183,86,Simple,Mujer,25 a 29,32 a 36,Secundario/Polimodal Completa y más,2500 gramos y más,16,2022
184,86,Simple,Mujer,30 a 34,28 a 31,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,1,2022
185,46,Múltiple,Mujer,35 a 39,32 a 36,Secundario/Polimodal Completa y más,Menos de 2500 gramos,2,2022
186,50,Simple,Mujer,15 a 19,28 a 31,Secundaria/Polimodal Incompleta,Menos de 2500 gramos,4,2022
