,cobertura,edad,varon,mujer,total,provincia
264,Prepaga sólo por contratación voluntaria,38,2526,3063,5589,Ciudad Autónoma de Buenos Aires
265,Prepaga sólo por contratación voluntaria,39,2684,3035,5719,Ciudad Autónoma de Buenos Aires
266,Prepaga sólo por contratación voluntaria,40,2677,2925,5602,Ciudad Autónoma de Buenos Aires
267,Prepaga sólo por contratación voluntaria,41,2613,2420,5033,Ciudad Autónoma de Buenos Aires
268,Prepaga sólo por contratación voluntaria,42,2365,2581,4946,Ciudad Autónoma de Buenos Aires
269,Prepaga sólo por contratación voluntaria,43,2403,3153,5556,Ciudad Autónoma de Buenos Aires
270,Prepaga sólo por contratación voluntaria,44,2312,2992,5304,Ciudad Autónoma de Buenos Aires
271,Prepaga sólo por contratación voluntaria,45,2503,2733,5236,Ciudad Autónoma de Buenos Aires
272,Prepaga sólo por contratación voluntaria,46,2285,2929,5214,Ciudad Autónoma de Buenos Aires
273,Prepaga sólo por contratación voluntaria,47,2418,2891,5309,Ciudad Autónoma de Buenos Aires
274,Prepaga sólo por contratación voluntaria,48,2362,2637,4999,Ciudad Autónoma de Buenos Aires
275,Prepaga sólo por contratación voluntaria,49,2490,2925,5415,Ciudad Autónoma de Buenos Aires
276,Prepaga sólo por contratación voluntaria,50,2654,3166,5820,Ciudad Autónoma de Buenos Aires
277,Prepaga sólo por contratación voluntaria,51,2537,2872,5409,Ciudad Autónoma de Buenos Aires
278,Prepaga sólo por contratación voluntaria,52,2333,2889,5222,Ciudad Autónoma de Buenos Aires
279,Prepaga sólo por contratación voluntaria,53,2610,2933,5543,Ciudad Autónoma de Buenos Aires
280,Prepaga sólo por contratación voluntaria,54,2416,3102,5518,Ciudad Autónoma de Buenos Aires
281,Prepaga sólo por contratación voluntaria,55,2771,3343,6114,Ciudad Autónoma de Buenos Aires
282,Prepaga sólo por contratación voluntaria,56,2623,2894,5517,Ciudad Autónoma de Buenos Aires
283,Prepaga sólo por contratación voluntaria,57,2299,2941,5240,Ciudad Autónoma de Buenos Aires
284,Prepaga sólo por contratación voluntaria,58,2268,3302,5570,Ciudad Autónoma de Buenos Aires
285,Prepaga sólo por contratación voluntaria,59,2511,3523,6034,Ciudad Autónoma de Buenos Aires
286,Prepaga sólo por contratación voluntaria,60,2906,3856,6762,Ciudad Autónoma de Buenos Aires
287,Prepaga sólo por contratación voluntaria,61,2503,3162,5665,Ciudad Autónoma de Buenos Aires
288,Prepaga sólo por contratación voluntaria,62,2832,3183,6015,Ciudad Autónoma de Buenos Aires
289,Prepaga sólo por contratación voluntaria,63,2516,2931,5447,Ciudad Autónoma de Buenos Aires
290,Prepaga sólo por contratación voluntaria,64,2616,3250,5866,Ciudad Autónoma de Buenos Aires
291,Prepaga sólo por contratación voluntaria,65,2347,3169,5516,Ciudad Autónoma de Buenos Aires
292,Prepaga sólo por contratación voluntaria,66,2222,2958,5180,Ciudad Autónoma de Buenos Aires
